"iso3","country","region","year","decision_year","completion_year","relief_van_musd","hipc_phase","post_completion","dsf_2022","eub","gdpg","reserves","pov_190","wgi_cc","wgi_rl","wgi_ge","wgi_rq","wgi_pv","wgi_va","ln_relief","ln_gdppc","ln_dxp","ln_inf_mort","ln_eub","inf_log","fdi_w","soc_exp","wgi_comp_lag","wgi_cc_lag","wgi_rl_lag","wgi_ge_lag","soc_x_wgi","dsf_num","dsf_high","time_since_comp","dxp","sdi","gdppc","trade","inf","fdi","wgi_comp","educ_exp","health_exp","inf_mort","gini","dxx_proxy","dxx_proxy_flag","tax_rev_gdp","total_rev_gdp","resource_rev_gdp","direct_tax_gdp","indirect_tax_gdp","income_tax_gdp","goods_tax_gdp","trade_tax_gdp","social_cont_gdp","IPF","RDI","resource_dep","fiscal_space","ln_tax_rev","ln_total_rev","wgi_pc1","FCF","FDS","IGC","IGA","ajr_settmort","ht_colonial","ross_oil_prod"
"MWI","Malawi","SSA",1990,2000,2006,1628,0,0,"High",NA,5.69229463403222,2.67420811484872,NA,NA,NA,NA,NA,NA,NA,7.39572160860205,5.86865066966738,4.05924568836642,4.89110072540107,NA,0.111751889651934,0.851269713577574,NA,NA,NA,NA,NA,NA,3,1,NA,56.9305968708045,4.84596458373742,353.771303717595,28.7944635910011,11.8235380454151,0.851269713577574,-0.872579634189607,2.24734997749329,0.17198935,133.1,44.6,395.427382704198,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.969868173258004,0.0798217193313432,NA,5,0
"MLI","Mali","SSA",1990,2000,2003,539,0,0,"Moderate",NA,-5.28752137337739,NA,NA,NA,NA,NA,NA,NA,NA,6.29156913955832,6.37974179643353,4.53871953585667,4.82189316949938,NA,0.00604508861577064,0.176384833895385,NA,NA,NA,NA,NA,NA,2,0,NA,92.5709091837647,2.54421190078615,589.775405883669,38.4598084868366,0.606339703737523,0.176384833895385,-1.34923334916433,2.09159994125366,0.08418062,124.2,42.8,481.390380378251,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.224437631447888,0.198698282980689,7.98616504669189,6,0
"MRT","Mauritania","SSA",1990,2000,2002,1100,0,0,"High",NA,-1.77130453327383,1.23244480956306,NA,NA,NA,NA,NA,NA,NA,7.00397413672268,7.27083500608811,4.9883156777169,4.28634138453947,NA,0.0639154425213391,0.44702077877301,NA,NA,NA,NA,NA,NA,3,1,NA,145.689143511455,10.0628919274126,1437.75048235693,78.1245487729656,6.60022564874018,0.44702077877301,-0.519371681148187,4.74007987976074,1.33183074,72.7,54.5,372.966361533392,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169921662696978,0.0772160308219728,5.63478946685791,6,0
"MOZ","Mozambique","SSA",1990,2000,2001,4300,0,0,"High",NA,0.999992834277037,NA,NA,NA,NA,NA,NA,NA,NA,8.36660283278374,5.39838431083569,NA,4.98838968514894,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,200.891119826978,1.05219433945407,221.048981086396,76.4793322385239,107.023809523808,2.31890567703789,-1.57789527376493,1.94208002090454,0.31191349,146.7,45.1,525.347473485878,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.609767225049117,0.133159163476231,NA,7,0
"MMR","Myanmar","Asia",1990,2012,2015,2200,0,0,"High",NA,2.81693327328911,6.23069140770162,NA,NA,NA,NA,NA,NA,NA,7.69666708152646,5.13717065236017,5.54178249528982,4.50645421304893,NA,0.162346502400406,7.61843109398624,NA,NA,NA,NA,NA,NA,3,1,NA,254.132366626374,2.87965724139199,170.233436728781,54.7381345984609,17.6267750314504,7.61843109398624,-0.992240329583486,4.46809005737305,1.06663251,90.6,36.4,928.538644915823,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0942092994120507,0.0588211564331683,3.54385352134705,5,825000
"NIC","Nicaragua","LAC",1990,2000,2004,4500,0,0,"High",NA,-0.0524997212688305,2.18094141165723,NA,NA,NA,NA,NA,NA,NA,8.41205487329293,7.13956027386109,7.01415814056502,3.96840333886425,NA,NA,0.31287086048071,NA,NA,NA,NA,NA,NA,3,1,NA,1111.26987706263,2.04691729107231,1260.87382799969,71.2908140830956,14.1596470116325,0.066372416684562,-0.413025625050068,5.88160201792279,5.80238628,52.9,59.5,3117.56820666222,1,12.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62394369180521,NA,NA,NA,NA,0.548231812207847,0.71615203575111,5.09558916091919,2,0
"NER","Niger","SSA",1990,2000,2004,521,0,0,"High",NA,-1.30847828481959,NA,NA,NA,NA,NA,NA,NA,NA,6.25766758788264,6.14402229361143,3.92593453404566,4.98770778945255,NA,-0.00778676845402186,1.16188482395643,NA,NA,NA,NA,NA,NA,3,1,NA,49.700437210725,2.79108046869633,465.923889536505,35.6167735553299,-0.775653010977504,1.16188482395643,-0.344124048948288,2.07436990737915,0.06221032,146.6,46.1,279.084443926491,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.385425399845638,0.295722669398893,5.99146461486816,6,0
"NPL","Nepal","Asia",1990,2004,2011,310,0,0,"Moderate",NA,4.63503634698831,5.02784885435735,NA,NA,NA,NA,NA,NA,NA,5.73979291217923,6.0467212309983,3.82179966582422,4.61709875685337,NA,0.0791780297121847,0.163746419296821,NA,NA,NA,NA,NA,NA,2,0,NA,44.6863545517152,1.84346144682255,422.724738575869,32.1887541579639,8.23970037453206,0.163746419296821,-1.19152329365413,2.8199999332428,0.38362399,101.2,54.6,277.65196709646,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205576198789234,0.46890415693227,NA,0,0
"RWA","Rwanda","SSA",1990,2000,2005,810,0,0,"Moderate",NA,-2.39929109760386,NA,NA,NA,NA,NA,NA,NA,NA,6.69826805411541,5.90867950590782,3.36868057811041,4.45898767581001,NA,0.0410053094914341,0.300370285302525,NA,NA,NA,NA,NA,NA,2,0,NA,28.0401855125792,0.827296874916787,368.219602425258,19.6841588743296,4.18576372649948,0.300370285302525,-2.12891268730164,4.94936990737915,1.10124004,86.4,43.3,284.901028198333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58576300424943,0.174734721943411,5.63478946685791,8,0
"STP","São Tomé and Príncipe","SSA",1990,2000,2007,263,0,0,"High",NA,-2.1526457716534,NA,NA,NA,NA,NA,NA,NA,NA,5.57594910314632,6.87470592356972,4.92953432253941,4.17438726989564,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,137.315087121907,2.59635370083988,967.490807502814,59.2713043549794,7.45884497828324,7.17813029275399,-0.574490780631701,1.36337995529175,1.00353265,65,42.1,463.344239227531,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.870653673829978,NA,NA,7,NA
