"iso3","country","year","dxp","gdppc","trade","inf","fdi","hipc","post_decision","post_completion","completion_year","decision_year","ln_relief"
"CPV","Cabo Verde",2008,32.7383904262931,3908.64885822576,90.9663882396256,6.77443546371143,10.7624753520891,0,0,0,NA,NA,0
"CPV","Cabo Verde",2009,40.0472340793016,3659.72046361628,80.4609561325344,0.991103480568085,6.80241863090143,0,0,0,NA,NA,0
"CPV","Cabo Verde",2010,50.5191117434846,3579.46006137809,85.5484498816191,2.07866470906424,6.36802137795552,0,0,0,NA,NA,0
"CPV","Cabo Verde",2011,52.7704943299126,4002.01386888785,90.5564501122747,4.47388342165023,4.99538224029443,0,0,0,NA,NA,0
"CPV","Cabo Verde",2012,87.4461943700545,3736.81517011087,90.649916554117,2.54039644167109,6.69129799994045,0,0,0,NA,NA,0
"CPV","Cabo Verde",2013,100.211107068706,3960.97596791345,86.1698600308418,1.50654285701407,4.40125011545419,0,0,0,NA,NA,0
"CPV","Cabo Verde",2014,95.0517280164041,3985.60706548134,91.3038524117221,-0.238778144990624,8.84407322092194,0,0,0,NA,NA,0
"CPV","Cabo Verde",2015,108.898740758427,3415.06266730931,94.0084870167993,0.131187999024545,5.49024513305668,0,0,0,NA,NA,0
"CPV","Cabo Verde",2016,102.626920378854,3608.96605234906,95.3781398609533,-1.40781637091706,6.82845117866997,0,0,0,NA,NA,0
"CPV","Cabo Verde",2017,109.265288203302,3893.09571382506,100.052133904219,0.784415251101334,5.59469673480566,0,0,0,NA,NA,0
"CPV","Cabo Verde",2018,96.8787144558663,4294.96510035729,105.867524052105,1.25699566690509,4.69595735976167,0,0,0,NA,NA,0
"CPV","Cabo Verde",2019,97.4432945234761,4380.78117331128,103.602656463726,1.10666674296063,5.45788755667341,0,0,0,NA,NA,0
"CPV","Cabo Verde",2020,136.237789037921,3539.22661248299,78.3934545931901,0.605795808395385,3.71218491455203,0,0,0,NA,NA,0
"CPV","Cabo Verde",2021,121.406606891511,3971.44409203423,77.4550586265341,1.86215297494647,4.45730498164251,0,0,0,NA,NA,0
"CPV","Cabo Verde",2022,108.275748298134,4323.31362032709,96.9941368513357,7.93092925430087,5.43014452079405,0,0,0,NA,NA,0
"DJI","Djibouti",1990,NA,780.497719360725,NA,NA,0.0132647080044086,0,0,0,NA,NA,0
"DJI","Djibouti",1991,42.4187812828448,732.733101553782,NA,NA,0.495241664547389,0,0,0,NA,NA,0
"DJI","Djibouti",1992,44.1694557718439,763.659214503152,NA,NA,0.479043325761231,0,0,0,NA,NA,0
"DJI","Djibouti",1993,47.5377793715867,758.733842733535,NA,NA,0.305457425513059,0,0,0,NA,NA,0
"DJI","Djibouti",1994,50.700086963461,784.556207408331,NA,NA,0.289528343451566,0,0,0,NA,NA,0
"DJI","Djibouti",1995,52.9305899383012,786.201866748458,NA,NA,0.646649181513972,0,0,0,NA,NA,0
"DJI","Djibouti",1996,56.4719360635592,761.943659476655,NA,NA,0.660629876416651,0,0,0,NA,NA,0
"DJI","Djibouti",1997,51.0642721699568,748.232840194914,NA,NA,0.616772633652726,0,0,0,NA,NA,0
"DJI","Djibouti",1998,53.2119057027716,735.349107889529,NA,NA,0.617093489663684,0,0,0,NA,NA,0
"DJI","Djibouti",1999,49.1563697223289,740.21930978973,NA,NA,0.599332232633272,0,0,0,NA,NA,0
"DJI","Djibouti",2000,52.5352242003136,737.612183644052,NA,NA,0.596129445834392,0,0,0,NA,NA,0
"DJI","Djibouti",2001,51.2473760774394,742.133791107063,NA,1.74665224985434,0.592742006829803,0,0,0,NA,NA,0
"DJI","Djibouti",2002,59.1529064264454,743.013270420348,NA,0.63761955366632,0.580649337298248,0,0,0,NA,NA,0
"DJI","Djibouti",2003,61.5327461758601,764.634465224597,NA,1.98196734627545,2.28673980374562,0,0,0,NA,NA,0
"DJI","Djibouti",2004,66.8509148498461,806.261652944964,NA,3.12226204699354,5.78669482576557,0,0,0,NA,NA,0
"DJI","Djibouti",2005,66.7501330392416,844.4483573908,NA,3.10496640148298,3.13326292887826,0,0,0,NA,NA,0
"DJI","Djibouti",2006,71.5531617177801,898.464628136774,NA,3.48340699677866,14.0839401368509,0,0,0,NA,NA,0
"DJI","Djibouti",2007,92.9119463966667,969.573220191902,NA,4.96597654553301,23.0388936446947,0,0,0,NA,NA,0
