"variable","pct_hipc"
"fao_luforest",50.7
"ictd_taxnresexsc",50.7
"ihme_hle_0102t",50.7
"ihme_hle_0204t",50.7
"wdi_empprfilo",50.7
"wdi_empprilo",50.7
"wdi_empprmilo",50.7
"wdi_emppryfilo",50.7
"wdi_emppryilo",50.7
"wdi_empprymilo",50.7
"wdi_unempfilo",50.7
"wdi_unempilo",50.7
"wdi_unempmilo",50.7
"wdi_unempyfilo",50.7
"wdi_unempyilo",50.7
"wdi_unempymilo",50.7
"ictd_revexsc",50.3
"ictd_grants",49.8
"ictd_taxindirect",49.8
"wdi_forest",49.7
"iaep_es",49.3
"wdi_emp",49.2
"wdi_empagr",49.2
"wdi_empagrf",49.2
"wdi_empagrm",49.2
"wdi_empf",49.2
"wdi_empind",49.2
"wdi_empindf",49.2
"wdi_empindm",49.2
"wdi_empm",49.2
"wdi_empser",49.2
"wdi_empserf",49.2
"wdi_empserm",49.2
"wdi_semp",49.2
"wdi_sempf",49.2
"wdi_sempm",49.2
"ictd_revinsc",49.1
"h_alignl1",48.5
"wdi_enerenew",48.5
"opri_tipef",48.2
"iaep_aecc",47.7
"ictd_taxnresinsc",47.3
"ictd_taxtrade",47.3
"fao_luforplant",47.1
"wdi_armimp",46.7
"diat_iti",46.6
"ictd_taxinc",46.6
"ictd_taxgs",46.5
"iaep_pnec",46.2
"iaep_pseec",46.2
"iaep_pveec",46.2
"iaep_snec",46.2
"icrg_qog",46
"wdi_gers",45.8
"ht_partsz",45.2
"undp_hdi",44.9
"wdi_gnigr",44.3
"wdi_afpt",44.1
"diat_ati",44
"diat_ti",44
"iaep_ccrea",44
"iaep_ccrla",43.6
"une_girlgpt",43.4
"ciri_work_l_s",43.2
"ciri_work_p_s",43.2
"gain_cap",43.2
"gain_econ",43.2
"gain_ecos",43.2
"gain_exp",43.2
"gain_food",43.2
"gain_gain",43.2
"gain_gaingdp",43.2
"gain_hab",43.2
"gain_heal",43.2
"gain_read",43.2
"gain_readgdp",43.2
"gain_sens",43.2
"gain_vuln",43.2
"gain_vulngdp",43.2
"pwt_slcgdp",43
"bicc_gmi",42.9
"bicc_hw",42.9
"bicc_milexp",42.9
"bicc_milper",42.9
"wdi_internet",42.8
"wdi_gnicapgr",42.7
"gol_inst",42.6
"gol_preel",42.6
"wdi_gnicapcon2015",42.6
"wdi_gnicon2015",42.6
"gol_enpp",42.5
"gol_est",42.5
"gol_est_spec",42.5
"gol_nos",42.5
"gol_pr",42.5
"gol_upseat",42.5
"wdi_acelu",42.2
"gain_gov",42.1
"pwt_cs",42.1
"pwt_csppp",42.1
"pwt_plcs",42.1
"wdi_eduprp",42.1
"wdi_elprodoil",42.1
"wdi_elprodhyd",42
"hrv_index",41.9
"hrv_lb",41.9
"hrv_sd",41.9
"hrv_ub",41.9
"wdi_acel",41.9
"ipu_l_s",41.7
"ipu_l_sw",41.6
"ipu_l_w",41.6
"wdi_gert",41.5
"gol_adm",41.4
"gol_dist",41.4
"wdi_afp",41.3
"gain_soc",40.9
"gain_wat",40.9
"iaep_rmcc",40.9
"une_girlgpf",40.9
"une_girlgpm",40.9
"iaep_ese",40.4
"wdi_elprodcoal",40.4
"iaep_alcc",40.2
"wdi_elprodgas",40.2
"wdi_gersf",40.2
"wdi_gersm",40.2
"gol_enep",39.9
"gol_mt",39.8
"wdi_elprodnuc",39.7
"gol_enep1",39.4
"gol_enepo",39.4
"wui_wtui",39.4
"gol_enpp1",39.3
"gol_enppo",39.3
"ied_dge",39.1
"pwt_tfp",38.7
"pwt_tfpppp",38.7
"al_religion2000",38.6
"opri_reprpet",38.6
"ross_oil_exp",38.6
"ross_oil_netexp",38.6
"ross_oil_netexpc",38.6
"gol_uptier",38
"fi_legprop",37.8
"fi_legprop_pd",37.8
"ied_mimic",37.8
"wdi_elerenew",37.8
"fi_reg",37.7
"fi_reg_pd",37.7
"fi_sog",37.7
"fi_sog_pd",37.7
"al_ethnic2000",37.6
"wbgi_cce",37.6
"wbgi_ccn",37.6
"wbgi_ccs",37.6
"wbgi_pve",37.6
"wbgi_pvn",37.6
"wbgi_pvs",37.6
"wbgi_rle",37.6
"wbgi_rln",37.6
"wbgi_rls",37.6
"wbgi_vae",37.6
"wbgi_van",37.6
"wbgi_vas",37.6
"fi_sm",37.5
"fi_sm_pd",37.5
"wbgi_gee",37.4
"wbgi_gen",37.4
"wbgi_ges",37.4
"wbgi_rqe",37.4
"wbgi_rqn",37.4
"wbgi_rqs",37.4
"wdi_wip",37.2
"wdi_intrate",36.9
"wdi_gerpp",36.8
"wdi_expmilge",36.7
"al_language2000",36.6
"biu_offrel",36.5
"biu_relleg",36.5
"opri_reprpef",36.3
"opri_reprpem",36.3
"opri_oaeece",36.2
"opri_tdurece",36.2
"fi_index",35.9
"fi_index_pd",35.9
"wdi_acelr",35.5
"wdi_expedu",35.4
"cspf_sfi",35.2
"ictd_taxind",34.9
"ictd_taxcorp",34.8
"une_girlglst",34.7
"ross_gas_exp",34.3
"wdi_gnicappppcon2021",34.3
"wdi_gnipppcon2021",34.3
"wdi_gertf",34.1
"wdi_gertm",34.1
"wdi_gerppf",33.9
"wdi_gerppm",33.9
"opri_surg4pet",33.7
"wdi_chexppgdp",33.6
"wdi_dgovhexp",33.6
"wdi_dprivhexp",33.6
"wdi_ophexp",33.6
"wdi_ehexpp",33.5
"who_halef",33.1
"who_halem",33.1
"who_halet",33.1
"who_homf",33.1
"who_homm",33.1
"who_homt",33.1
"who_lef",33.1
"who_lem",33.1
"who_let",33.1
"who_mrf",33.1
"who_mrm",33.1
"who_mrt",33.1
"who_suif",33.1
"who_suim",33.1
"who_suit",33.1
"cai_cai1",32.9
"cai_cai2",32.9
"cai_foetal",32.9
"cai_life",32.9
"cai_mental",32.9
"cai_physical",32.9
"cai_rape",32.9
"cai_request",32.9
"cai_social",32.9
"ictd_taxother",32.9
"ross_gas_netexp",32.9
"ross_gas_netexpc",32.9
"opri_surg5pet",32.8
"fi_ftradeint",32.4
"opri_oeace",32.4
"gain_inf",32
"gpcr_eci",32
"une_girlglsf",31.8
"une_girlglsm",31.8
"opri_tiset",31.6
"fi_ftradeint_pd",31.4
"opri_surlgpet",31.3
"ucdp_type1",31.3
"ucdp_type2",31.3
"ucdp_type3",31.3
"ucdp_type4",31.3
"kun_polabs",31.2
"kun_ecoabs",31
"opri_surg4pef",30.1
"opri_surg4pem",30.1
"wdi_eneuse",30.1
"who_anpreg",30.1
"wdi_fossil",30
